variant,slot,local,half_local,signed_distance,baseline_distance,actual_delta,best_odd_cycle_len_at_slot,odd_cycle_count_containing_slot,has_odd_triangle
original,7,37,7,2,2,0,3,2913,True
original,7,38,8,2,2,0,3,2913,True
original,7,39,9,3,4,-1,3,2913,True
original,7,40,10,2,2,0,3,2913,True
original,7,41,11,3,3,0,3,2913,True
original,7,42,12,3,4,-1,3,2913,True
original,7,43,13,3,4,-1,3,2913,True
original,7,44,14,3,3,0,3,2913,True
original,7,45,15,2,2,0,3,2913,True
original,7,46,16,3,3,0,3,2913,True
original,7,47,17,3,4,-1,3,2913,True
original,7,48,18,3,4,-1,3,2913,True
original,7,49,19,3,3,0,3,2913,True
original,7,50,20,2,2,0,3,2913,True
original,7,51,21,3,3,0,3,2913,True
original,7,52,22,3,4,-1,3,2913,True
original,7,53,23,3,4,-1,3,2913,True
original,7,54,24,3,3,0,3,2913,True
original,7,55,25,2,2,0,3,2913,True
original,7,56,26,3,3,0,3,2913,True
original,7,57,27,3,4,-1,3,2913,True
original,7,58,28,3,4,-1,3,2913,True
original,7,59,29,3,3,0,3,2913,True
original,8,0,30,3,4,-1,3,2909,True
original,8,1,31,3,3,0,3,2909,True
original,8,2,32,2,2,0,3,2909,True
original,8,3,33,3,3,0,3,2909,True
original,8,4,34,3,4,-1,3,2909,True
original,8,5,35,3,6,-3,3,2909,True
original,8,6,36,3,4,-1,3,2909,True
original,8,7,37,2,2,0,3,2909,True
original,8,8,38,2,2,0,3,2909,True
original,8,9,39,3,4,-1,3,2909,True
original,8,10,40,2,2,0,3,2909,True
original,8,11,41,3,3,0,3,2909,True
original,8,12,42,3,4,-1,3,2909,True
original,8,13,43,3,4,-1,3,2909,True
original,8,14,44,3,3,0,3,2909,True
original,8,15,45,2,2,0,3,2909,True
original,8,16,46,3,3,0,3,2909,True
original,8,17,47,3,4,-1,3,2909,True
original,8,18,48,3,4,-1,3,2909,True
original,8,19,49,3,3,0,3,2909,True
original,8,20,50,2,2,0,3,2909,True
original,8,21,51,3,3,0,3,2909,True
original,8,22,52,3,4,-1,3,2909,True
original,8,23,53,3,4,-1,3,2909,True
original,8,24,54,3,3,0,3,2909,True
original,8,25,55,2,2,0,3,2909,True
original,8,26,56,3,3,0,3,2909,True
original,8,27,57,3,4,-1,3,2909,True
original,8,28,58,3,4,-1,3,2909,True
original,8,29,59,3,3,0,3,2909,True
original,8,30,0,3,4,-1,3,2909,True
original,8,31,1,3,3,0,3,2909,True
original,8,32,2,2,2,0,3,2909,True
original,8,33,3,3,3,0,3,2909,True
original,8,34,4,3,4,-1,3,2909,True
original,8,35,5,3,6,-3,3,2909,True
original,8,36,6,3,4,-1,3,2909,True
original,8,37,7,2,2,0,3,2909,True
original,8,38,8,2,2,0,3,2909,True
original,8,39,9,3,4,-1,3,2909,True
original,8,40,10,2,2,0,3,2909,True
original,8,41,11,3,3,0,3,2909,True
original,8,42,12,3,4,-1,3,2909,True
original,8,43,13,3,4,-1,3,2909,True
original,8,44,14,3,3,0,3,2909,True
original,8,45,15,2,2,0,3,2909,True
original,8,46,16,3,3,0,3,2909,True
original,8,47,17,3,4,-1,3,2909,True
original,8,48,18,3,4,-1,3,2909,True
original,8,49,19,3,3,0,3,2909,True
original,8,50,20,2,2,0,3,2909,True
original,8,51,21,3,3,0,3,2909,True
original,8,52,22,3,4,-1,3,2909,True
original,8,53,23,3,4,-1,3,2909,True
original,8,54,24,3,3,0,3,2909,True
original,8,55,25,2,2,0,3,2909,True
original,8,56,26,3,3,0,3,2909,True
original,8,57,27,3,4,-1,3,2909,True
original,8,58,28,3,4,-1,3,2909,True
original,8,59,29,3,3,0,3,2909,True
original,9,0,30,4,4,0,5,2908,False
original,9,1,31,3,3,0,5,2908,False
original,9,2,32,2,2,0,5,2908,False
original,9,3,33,3,3,0,5,2908,False
original,9,4,34,4,4,0,5,2908,False
original,9,5,35,5,6,-1,5,2908,False
original,9,6,36,4,4,0,5,2908,False
original,9,7,37,2,2,0,5,2908,False
original,9,8,38,2,2,0,5,2908,False
original,9,9,39,4,4,0,5,2908,False
original,9,10,40,2,2,0,5,2908,False
original,9,11,41,3,3,0,5,2908,False
original,9,12,42,4,4,0,5,2908,False
original,9,13,43,4,4,0,5,2908,False
original,9,14,44,3,3,0,5,2908,False
original,9,15,45,2,2,0,5,2908,False
original,9,16,46,3,3,0,5,2908,False
original,9,17,47,4,4,0,5,2908,False
original,9,18,48,4,4,0,5,2908,False
original,9,19,49,3,3,0,5,2908,False
original,9,20,50,2,2,0,5,2908,False
original,9,21,51,3,3,0,5,2908,False
original,9,22,52,4,4,0,5,2908,False
original,9,23,53,4,4,0,5,2908,False
original,9,24,54,3,3,0,5,2908,False
original,9,25,55,2,2,0,5,2908,False
original,9,26,56,3,3,0,5,2908,False
original,9,27,57,4,4,0,5,2908,False
original,9,28,58,4,4,0,5,2908,False
original,9,29,59,3,3,0,5,2908,False
original,9,30,0,4,4,0,5,2908,False
original,9,31,1,3,3,0,5,2908,False
original,9,32,2,2,2,0,5,2908,False
original,9,33,3,3,3,0,5,2908,False
original,9,34,4,4,4,0,5,2908,False
original,9,35,5,5,6,-1,5,2908,False
original,9,36,6,4,4,0,5,2908,False
original,9,37,7,2,2,0,5,2908,False
original,9,38,8,2,2,0,5,2908,False
original,9,39,9,4,4,0,5,2908,False
original,9,40,10,2,2,0,5,2908,False
original,9,41,11,3,3,0,5,2908,False
original,9,42,12,4,4,0,5,2908,False
original,9,43,13,4,4,0,5,2908,False
original,9,44,14,3,3,0,5,2908,False
original,9,45,15,2,2,0,5,2908,False
original,9,46,16,3,3,0,5,2908,False
original,9,47,17,4,4,0,5,2908,False
original,9,48,18,4,4,0,5,2908,False
original,9,49,19,3,3,0,5,2908,False
original,9,50,20,2,2,0,5,2908,False
original,9,51,21,3,3,0,5,2908,False
original,9,52,22,4,4,0,5,2908,False
original,9,53,23,4,4,0,5,2908,False
original,9,54,24,3,3,0,5,2908,False
original,9,55,25,2,2,0,5,2908,False
original,9,56,26,3,3,0,5,2908,False
original,9,57,27,4,4,0,5,2908,False
original,9,58,28,4,4,0,5,2908,False
original,9,59,29,3,3,0,5,2908,False
original,10,0,30,3,4,-1,3,2913,True
original,10,1,31,3,3,0,3,2913,True
original,10,2,32,2,2,0,3,2913,True
original,10,3,33,3,3,0,3,2913,True
original,10,4,34,3,4,-1,3,2913,True
original,10,5,35,3,6,-3,3,2913,True
original,10,6,36,3,4,-1,3,2913,True
original,10,7,37,2,2,0,3,2913,True
original,10,8,38,2,2,0,3,2913,True
original,10,9,39,3,4,-1,3,2913,True
original,10,10,40,2,2,0,3,2913,True
original,10,11,41,3,3,0,3,2913,True
original,10,12,42,3,4,-1,3,2913,True
original,10,13,43,3,4,-1,3,2913,True
original,10,14,44,3,3,0,3,2913,True
original,10,15,45,2,2,0,3,2913,True
original,10,16,46,3,3,0,3,2913,True
original,10,17,47,3,4,-1,3,2913,True
original,10,18,48,3,4,-1,3,2913,True
original,10,19,49,3,3,0,3,2913,True
original,10,20,50,2,2,0,3,2913,True
original,10,21,51,3,3,0,3,2913,True
original,10,22,52,3,4,-1,3,2913,True
original,10,23,53,3,4,-1,3,2913,True
original,10,24,54,3,3,0,3,2913,True
original,10,25,55,2,2,0,3,2913,True
original,10,26,56,3,3,0,3,2913,True
original,10,27,57,3,4,-1,3,2913,True
original,10,28,58,3,4,-1,3,2913,True
original,10,29,59,3,3,0,3,2913,True
original,10,30,0,3,4,-1,3,2913,True
original,10,31,1,3,3,0,3,2913,True
original,10,32,2,2,2,0,3,2913,True
original,10,33,3,3,3,0,3,2913,True
original,10,34,4,3,4,-1,3,2913,True
original,10,35,5,3,6,-3,3,2913,True
original,10,36,6,3,4,-1,3,2913,True
original,10,37,7,2,2,0,3,2913,True
original,10,38,8,2,2,0,3,2913,True
original,10,39,9,3,4,-1,3,2913,True
original,10,40,10,2,2,0,3,2913,True
