name,odd_triangle_count,odd_slot_count,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
sample_0086,0,0,"[[0, 4], [0, 6], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0087,0,0,"[[0, 4], [0, 6], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0088,0,0,"[[0, 4], [0, 6], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0089,0,0,"[[0, 4], [0, 6], [1, 2], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0090,0,0,"[[0, 4], [0, 6], [1, 2], [3, 8], [10, 14]]",-0.04888888888888889,22,878,0,"{""-2"": 22, ""0"": 878}"
sample_0091,0,0,"[[0, 4], [0, 6], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0092,0,0,"[[0, 4], [0, 6], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0093,0,0,"[[0, 4], [0, 6], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0094,0,0,"[[0, 4], [0, 6], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0095,0,0,"[[0, 4], [0, 6], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0096,0,0,"[[0, 4], [0, 6], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0097,0,0,"[[0, 4], [0, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0098,0,0,"[[0, 4], [0, 6], [1, 7], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0099,0,0,"[[0, 4], [0, 6], [1, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0100,0,0,"[[0, 4], [0, 6], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0101,0,0,"[[0, 4], [0, 6], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0102,0,0,"[[0, 4], [0, 6], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0103,0,0,"[[0, 4], [0, 6], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0104,0,0,"[[0, 4], [0, 6], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0105,0,0,"[[0, 4], [0, 6], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0106,0,0,"[[0, 4], [0, 6], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0107,0,0,"[[0, 4], [0, 6], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0108,0,0,"[[0, 4], [0, 6], [2, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0109,0,0,"[[0, 4], [1, 2], [1, 6], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0110,0,0,"[[0, 4], [1, 2], [1, 6], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0111,0,0,"[[0, 4], [1, 2], [1, 6], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0112,0,0,"[[0, 4], [1, 2], [1, 6], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0113,0,0,"[[0, 4], [1, 2], [1, 6], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0114,0,0,"[[0, 4], [1, 2], [1, 6], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0115,0,0,"[[0, 4], [1, 2], [1, 6], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0116,0,0,"[[0, 4], [1, 2], [1, 6], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0117,0,0,"[[0, 4], [1, 2], [1, 6], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0118,0,0,"[[0, 4], [1, 6], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0119,0,0,"[[0, 4], [1, 6], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0120,0,0,"[[0, 4], [1, 6], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0121,0,0,"[[0, 4], [1, 6], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0122,0,0,"[[0, 4], [1, 6], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0123,0,0,"[[0, 4], [1, 6], [1, 7], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0124,0,0,"[[0, 4], [1, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0125,0,0,"[[0, 4], [1, 6], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0126,0,0,"[[0, 4], [1, 6], [1, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0127,0,0,"[[0, 4], [1, 6], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0128,0,0,"[[0, 4], [1, 6], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0129,0,0,"[[0, 4], [1, 6], [2, 3], [2, 7], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0130,0,0,"[[0, 4], [1, 6], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0131,0,0,"[[0, 4], [1, 6], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0132,0,0,"[[0, 4], [1, 6], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0133,0,0,"[[0, 4], [1, 6], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0134,0,0,"[[0, 4], [1, 6], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0135,0,0,"[[0, 4], [1, 6], [2, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0136,0,0,"[[0, 5], [0, 6], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0137,0,0,"[[0, 5], [0, 6], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0138,0,0,"[[0, 5], [0, 6], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0139,0,0,"[[0, 5], [0, 6], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0140,0,0,"[[0, 5], [0, 6], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0141,0,0,"[[0, 5], [0, 6], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0142,0,0,"[[0, 5], [0, 6], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0143,0,0,"[[0, 5], [0, 6], [1, 2], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0144,0,0,"[[0, 5], [0, 6], [1, 2], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0145,0,0,"[[0, 5], [0, 6], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0146,0,0,"[[0, 5], [0, 6], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0147,0,0,"[[0, 5], [0, 6], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0148,0,0,"[[0, 5], [0, 6], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0149,0,0,"[[0, 5], [0, 6], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0150,0,0,"[[0, 5], [0, 6], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0151,0,0,"[[0, 5], [0, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0152,0,0,"[[0, 5], [0, 6], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
