slot,local,half_local,best_odd_cycle_len_at_slot,internal_g60_half_flip_distance,signed_distance,baseline_distance,actual_delta_signed_minus_baseline,shortcut_delta_best_odd_minus_internal
11,3,33,5,3,3,3,0,2
11,4,34,5,4,4,4,0,1
11,5,35,5,6,5,6,-1,-1
11,6,36,5,4,4,4,0,1
11,7,37,5,2,2,2,0,3
11,8,38,5,2,2,2,0,3
11,9,39,5,4,4,4,0,1
11,10,40,5,2,2,2,0,3
11,11,41,5,3,3,3,0,2
11,12,42,5,4,4,4,0,1
11,13,43,5,4,4,4,0,1
11,14,44,5,3,3,3,0,2
11,15,45,5,2,2,2,0,3
11,16,46,5,3,3,3,0,2
11,17,47,5,4,4,4,0,1
11,18,48,5,4,4,4,0,1
11,19,49,5,3,3,3,0,2
11,20,50,5,2,2,2,0,3
11,21,51,5,3,3,3,0,2
11,22,52,5,4,4,4,0,1
11,23,53,5,4,4,4,0,1
11,24,54,5,3,3,3,0,2
11,25,55,5,2,2,2,0,3
11,26,56,5,3,3,3,0,2
11,27,57,5,4,4,4,0,1
11,28,58,5,4,4,4,0,1
11,29,59,5,3,3,3,0,2
11,30,0,5,4,4,4,0,1
11,31,1,5,3,3,3,0,2
11,32,2,5,2,2,2,0,3
11,33,3,5,3,3,3,0,2
11,34,4,5,4,4,4,0,1
11,35,5,5,6,5,6,-1,-1
11,36,6,5,4,4,4,0,1
11,37,7,5,2,2,2,0,3
11,38,8,5,2,2,2,0,3
11,39,9,5,4,4,4,0,1
11,40,10,5,2,2,2,0,3
11,41,11,5,3,3,3,0,2
11,42,12,5,4,4,4,0,1
11,43,13,5,4,4,4,0,1
11,44,14,5,3,3,3,0,2
11,45,15,5,2,2,2,0,3
11,46,16,5,3,3,3,0,2
11,47,17,5,4,4,4,0,1
11,48,18,5,4,4,4,0,1
11,49,19,5,3,3,3,0,2
11,50,20,5,2,2,2,0,3
11,51,21,5,3,3,3,0,2
11,52,22,5,4,4,4,0,1
11,53,23,5,4,4,4,0,1
11,54,24,5,3,3,3,0,2
11,55,25,5,2,2,2,0,3
11,56,26,5,3,3,3,0,2
11,57,27,5,4,4,4,0,1
11,58,28,5,4,4,4,0,1
11,59,29,5,3,3,3,0,2
12,0,30,5,4,4,4,0,1
12,1,31,5,3,3,3,0,2
12,2,32,5,2,2,2,0,3
12,3,33,5,3,3,3,0,2
12,4,34,5,4,4,4,0,1
12,5,35,5,6,5,6,-1,-1
12,6,36,5,4,4,4,0,1
12,7,37,5,2,2,2,0,3
